Name,Mover Score,Pub Rank,All time high pub rank,All time low pub rank
package name,Calculated score based on all the other metrics,current rank,highest ever package rank,lowest ever package rank
gzx_dropdown_menu,446,2926,2038,2986
uri_content,454,2924,1727,2924
google_api_availability,743,303,286,407
flutter_web_auth_2,734,304,273,406
dart_frog,800,305,217,1275
tray_manager,733,306,285,322
slide_countdown,713,307,261,309
no_screenshot,749,308,303,428
keyboard_dismisser,700,309,266,319
flutter_dynamic_icon,729,310,275,367
simple_html_css,732,311,287,407
omni_datetime_picker,785,312,298,1394
easy_sidemenu,845,313,313,1519
flag,724,314,302,348
wiredash,822,315,311,1439
talker_dio_logger,786,316,305,1336
copy_with_extension,742,317,276,419
flutter_overlay_window,738,318,265,412
firebase_performance,802,319,243,1017
live_activities,821,320,313,1503
blurhash_dart,738,321,283,431
sqflite_common,771,322,284,561
squadron,836,323,277,1396
modal_progress_hud_nsn,727,324,205,326
country_flags,741,325,304,387
swipe_to,710,326,279,326
volume_controller,737,327,306,445
diffutil_dart,748,328,298,544
appinio_swiper,729,329,279,355
cider,783,330,290,874
infinite_carousel,706,331,295,342
material_color_utilities,767,332,332,623
blurrycontainer,701,333,310,356
io,737,334,297,455
widgets_to_image,722,335,293,351
pub_updater,743,336,301,426
animated_list_plus,731,337,325,458
easy_stepper,725,338,195,338
group_list_view,748,339,315,483
flutter_config,747,340,269,361
rate_limiter,796,341,307,1009
flutter_slider_drawer,700,342,319,359
eva_icons_flutter,709,343,291,346
mrx_charts,762,344,292,745
system_info2,761,345,311,654
very_good_infinite_list,736,346,305,413
flutter_ringtone_player,730,347,206,362
win32_registry,762,348,313,629
animated_size_and_fade,740,349,296,456
signals,817,350,324,1427
pedometer,699,351,312,359
csslib,728,352,332,415
web_socket_client,738,353,305,444
simple_barcode_scanner,841,354,308,1335
pointer_interceptor,709,355,184,355
sticky_grouped_list,735,356,288,381
floating,754,357,327,528
fresh,885,358,325,1961
pusher_beams,444,2911,2362,2911
perfect_freehand,767,360,309,667
dart_ping,728,361,331,426
open_store,688,362,328,369
just_waveform,744,363,336,533
appcheck,801,364,348,1538
hugeicons,732,365,350,432
video_trimmer,851,366,317,1517
mailto,723,367,338,402
fresh_dio,738,368,342,598
typewritertext,752,369,369,553
widget_to_marker,723,370,355,454
firebase_app_check,801,371,288,1066
